IP LinLin
DP 0.0 0
DP 0.1 0
DP 0.2 0
DP 0.3 0
DP 0.4 0
DP 0.5 0
DP 0.6 0
DP 0.7 0
DP 0.8 0
DP 0.9 0
DP 1.0 0 
DP 1.1 0
DP 1.2 0
DP 1.3 0
DP 1.4 0
DP 1.5 0
DP 1.6 0
DP 1.7 0.3
DP 1.8 0.8
DP 1.9 0.75
DP 2.0 1.0
DP 2.1 0.26
DP 2.2 0.4
DP 2.3 0.2
DP 2.4 0
DP 2.5 0
DP 2.6 0
DP 2.7 0
DP 2.8 0
DP 2.9 0
DP 3.0 0
